employee_id,first_name,last_name,date_of_birth,gender,address,phone_number,email,position,department,hire_date,salary
1,عقيل,آل صفوان,1991-02-26,ذكر,"347 العجلان Hollow Apt. 002
North أحلامview, MS 17339",723-266-8550x089,wfal-mhmd-bn-ly-bn-jmz@example.net,مدير فرع,العمليات,2018-01-26,17531.23
2,غطفان,كانو,1970-07-25,ذكر,"36947 نادر Mill
Port راسم, NY 35727",001-899-569-8790,al-sfwnmhr@example.org,مسؤول دعم فني,خدمة العملاء,2018-01-05,13993.54
3,دانية,المهنا,1998-02-06,أنثى,"0822 بنفسج Coves
كافورberg, LA 67401",+1-624-524-7653x4369,al-swdnsr-ldwyn@example.net,محاسب,خدمة العملاء,2020-04-06,4138.71
4,شريف,آل محمد بن علي بن جماز,1983-08-07,ذكر,"752 حجار Heights Apt. 390
آل خضيرberg, PR 83336",536.719.5008,vljln@example.net,مسؤول خدمة عملاء,الدعم الفني,2014-01-16,20154.06
5,جهاد,المهيدب,1973-02-21,ذكر,"4656 آل عواض Loop
South ممدوح, LA 09935",001-214-812-2304x05091,srhn45@example.net,مدير فرع,العمليات,2011-03-10,24008.19
6,رسمي,آل مقطة,2001-09-10,ذكر,"1428 كنعان Mountain Suite 312
الشايعstad, WV 92846",(614)414-0567x4122,lkhrfyshkr@example.org,مسؤول دعم فني,الائتمان,2024-02-04,7337.11
7,اعتكاف,آل سعود,2002-02-11,أنثى,"51618 كانو Knolls
Port عبد الجبّارfort, NJ 79291",582.791.5591,sqrbw-dwwd@example.org,مسؤول دعم فني,خدمة العملاء,2014-09-24,10910.62
8,جدير,الحكير,1972-08-19,ذكر,"37549 عبد الحفيظ Well
جيلانshire, SC 13443",(711)273-6724,ltyn53@example.com,مسؤول دعم فني,المحاسبة,2017-02-02,17765.12
9,فؤاد,آل محمد بن علي بن جماز,1990-04-27,ذكر,"1792 آل قصير Drive Apt. 957
حنبوليview, AZ 25788",206.535.2360,ktwmal-khdyr@example.com,صراف,الإدارة,2024-06-23,24638.72
10,لورا,آل بن ظافر,1979-04-07,أنثى,"1393 الحجار Cape Suite 654
الحكيرchester, PW 32327",473-308-8278x53233,ljflymshrq@example.net,مسؤول دعم فني,المالية,2020-06-17,14140.09
11,حمدي,آل عواض,1972-02-20,ذكر,"02876 مصعب River Suite 806
آياتmouth, MO 78222",238-950-8292x900,vlrshd@example.com,مسؤول خدمة عملاء,خدمة العملاء,2016-10-01,22037.71
12,سلمان,المشاولة,1982-12-13,ذكر,"1311 آل العسكري Plaza Suite 986
Lake عبد الحقّport, NH 09236",460-224-4195x33052,ehjr@example.net,مسؤول ائتمان,الدعم الفني,2014-07-06,16060.41
13,حلا,العليان,1970-12-23,أنثى,"45345 مهنا Canyon Suite 649
آل محمد بن علي بن جمازborough, AR 48591",(564)450-6079x3728,yrlkhrfy@example.com,صراف,الائتمان,2017-04-04,18874.94
14,نوف,آل جعفر,1973-12-20,أنثى,"38418 جسور Highway
العجلانton, UT 85237",(680)906-1605,bnfsjlmhydb@example.net,مسؤول ائتمان,خدمة العملاء,2019-08-04,20718.07
15,نوال,آل خضير,1981-11-17,أنثى,"19386 صعب Throughway Suite 023
الراشدport, MT 77924",+1-248-280-5041x4732,qtbal-rfy@example.com,صراف,الائتمان,2017-08-11,6417.55
16,ريم,آل بن لافي,1998-10-10,أنثى,"51487 شربتلي Stream
أبو داوودburgh, NJ 22755",001-304-857-2430x92429,al-ydysmyn@example.com,محلل مالي,خدمة العملاء,2010-09-29,19167.22
17,ريان,العليان,1979-10-10,أنثى,"70171 المشاولة Place Apt. 097
North غسّان, DE 49620",(923)666-4262,jlal-bn-zfr@example.com,صراف,الدعم الفني,2024-03-31,22166.17
18,سهيل,آل رفيع,1988-11-27,ذكر,"4837 آل علي Fords
فهدbury, VT 39714",964-931-5125x5360,vlrshd@example.net,محاسب,المحاسبة,2020-12-07,21155.38
19,ودود,العجلان,1994-09-20,ذكر,"8038 مرعي Parkways Suite 341
West صبري, NM 70642",654-254-5471,trf11@example.net,مسؤول ائتمان,خدمة العملاء,2014-01-15,9756.69
20,هيا,المهيدب,1997-09-02,أنثى,"80186 آل بن لافي Court
العقيلburgh, UT 29910",001-503-225-7930,tbal-lskry@example.com,مسؤول دعم فني,الدعم الفني,2014-09-14,5666.68
21,ابتهال,مهنا,1981-12-06,أنثى,"085 بهية Key Apt. 809
West سهلstad, VT 19256",272-860-5400,al-jfrlwy@example.com,صراف,المحاسبة,2018-03-25,4469.53
22,عتاب,المهنا,1983-03-05,أنثى,"02935 شاكر Pass Suite 412
South طائف, ID 63395",+1-299-423-1366x83151,qal-ly@example.com,محلل مالي,الائتمان,2023-10-02,4509.0
23,صلاح,الحجار,1976-11-18,ذكر,"12287 العقيل Valleys
آل معيضbury, AR 53725",8969252974,elmgwl@example.org,صراف,العمليات,2023-01-30,9703.82
24,ترف,العقيل,1998-05-06,أنثى,"6509 آل جعفر Divide Suite 472
ضياءmouth, MS 81209",001-642-355-3992x73042,lwm19@example.org,مسؤول خدمة عملاء,الائتمان,2012-02-02,24050.16
25,فطين,آل خضير,1998-11-02,ذكر,"638 نغم Mission Apt. 825
North نديمside, MH 54866",(705)513-8270x87212,tmym46@example.org,مسؤول خدمة عملاء,المحاسبة,2016-09-01,22187.82
26,سلاف,آل عطفة,1972-02-01,أنثى,"Unit 1774 Box 5812
DPO AA 83376",744-722-0713x2704,al-qsyrzhr@example.org,محاسب,الدعم الفني,2014-06-17,9639.49
27,صاحب,حجار,1994-06-06,ذكر,"05735 الدباغ Camp
West خالدي, SC 03037",216.610.4118,bal-sltn@example.net,مسؤول ائتمان,خدمة العملاء,2023-02-28,13970.32
28,حمود,آل قصير,2001-11-21,ذكر,"404 مزهر Mill
عبد الحيّmouth, DC 37102",222-831-3682x2258,blqyl@example.net,مسؤول خدمة عملاء,المحاسبة,2017-02-16,22433.85
29,ريتاج,آل رفيع,1994-02-24,أنثى,"252 ريناد Highway Apt. 546
North قانتshire, CA 42322",513-474-4640x54406,mws95@example.net,محلل مالي,خدمة العملاء,2023-12-03,15312.65
30,عبد السّلام,آل رفيع,1989-03-05,ذكر,"904 فصيل Mount
فرجmouth, OR 37509",001-907-699-0760x812,mkwy43@example.com,صراف,الدعم الفني,2013-05-20,6412.49
31,غانم,آل العسكري,1993-10-14,ذكر,"736 حفيظ Parkway Suite 792
Port ميلاءshire, VA 46759",798.749.7635,ulmhn@example.org,محاسب,الدعم الفني,2014-11-02,10801.34
32,بيلسان,آل معيض,1973-08-27,أنثى,"6899 آل محمد بن علي بن جماز Springs Suite 061
Lake لقاءbury, MD 65213",001-651-809-5085x05666,hykl48@example.org,محاسب,العمليات,2023-06-20,12800.96
33,رؤوف,أبا الخيل,1995-01-14,ذكر,"76881 حسيب Pass Apt. 980
آل عليhaven, NY 07569",+1-981-638-5446x17886,al-tfbd-lhyw@example.org,محلل مالي,المحاسبة,2018-08-04,4591.05
34,بتلاء,آل عطفة,1979-07-03,أنثى,"01054 صدر الدّين Drive Apt. 050
العجلانstad, GA 70565",(774)363-3485x6481,btsmal-hsyn@example.com,مسؤول ائتمان,الإدارة,2016-07-02,6909.41
35,خليل,أبو داوود,1978-07-20,ذكر,"213 مادلين Freeway Suite 545
آل محمد بن علي بن جمازchester, CT 41271",(541)798-1555x260,rzyal-bn-lfy@example.net,مدير حسابات,خدمة العملاء,2015-08-08,10870.19
36,خاشعة,آل العسكري,1967-05-29,أنثى,"29682 الجابر Grove
كنعانchester, FM 69719",(400)227-2380,sydlhkyr@example.com,مسؤول دعم فني,الائتمان,2014-03-22,15942.03
37,فداء,آل العسكري,2001-07-25,أنثى,"7419 آل عطفة Stravenue
North هاديstad, NY 44334",6388720708,mrshd10@example.com,مسؤول دعم فني,المحاسبة,2019-04-25,10872.49
38,نشوة,آل عايض,1984-08-02,أنثى,"64184 داني Summit
صافيport, NM 33865",+1-475-553-3318x6716,bd-lshwkwral-swd@example.org,محلل مالي,العمليات,2013-12-15,7281.01
39,سجى,الدباغ,1982-12-08,أنثى,"Unit 7459 Box 9376
DPO AE 44228",(859)318-2038x0855,rwal-hsyn@example.org,مدير فرع,المحاسبة,2025-06-08,22893.17
40,وليف,المهنا,1992-09-14,ذكر,"93008 آل سلطان Union
North ثاقب, NJ 94875",(324)605-1882x98389,rljfly@example.org,مدير فرع,المحاسبة,2025-05-11,14102.24
